mri-report-manager
date,stream,content
2026/07/14 17:11:36,stderr,}

2026/07/14 17:11:36,stderr,  clientVersion: '6.19.2'

2026/07/14 17:11:36,stderr,"  meta: [Object],
"
2026/07/14 17:11:36,stderr,"  code: 'P2021',
"
2026/07/14 17:11:36,stderr,    at async l (.next/server/chunks/[root-of-the-server]__8fb1416c._.js:1:6619) {

2026/07/14 17:11:36,stderr,    at async d (.next/server/chunks/[root-of-the-server]__8fb1416c._.js:1:5578)

2026/07/14 17:11:36,stderr,    at async w (.next/server/chunks/[root-of-the-server]__8fb1416c._.js:1:1612)

2026/07/14 17:11:36,stderr,The table `main.FindingTemplate` does not exist in the current database.

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,Invalid `prisma.findingTemplate.findMany()` invocation:

2026/07/14 17:11:36,stderr,⨯ Error [PrismaClientKnownRequestError]: 

2026/07/14 17:11:36,stderr,}

2026/07/14 17:11:36,stderr,  clientVersion: '6.19.2'

2026/07/14 17:11:36,stderr,"  meta: [Object],
"
2026/07/14 17:11:36,stderr,"  code: 'P2021',
"
2026/07/14 17:11:36,stderr,    at async l (.next/server/chunks/[root-of-the-server]__37053214._.js:1:9452) {

2026/07/14 17:11:36,stderr,    at async d (.next/server/chunks/[root-of-the-server]__37053214._.js:1:8411)

2026/07/14 17:11:36,stderr,    at async A (.next/server/chunks/[root-of-the-server]__37053214._.js:1:5110)

2026/07/14 17:11:36,stderr,The table `main.ReportTemplate` does not exist in the current database.

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,Invalid `prisma.reportTemplate.findMany()` invocation:

2026/07/14 17:11:36,stderr,Error fetching templates: Error [PrismaClientKnownRequestError]: 

2026/07/14 17:11:36,stderr,}

2026/07/14 17:11:36,stderr,  clientVersion: '6.19.2'

2026/07/14 17:11:36,stderr,"  meta: [Object],
"
2026/07/14 17:11:36,stderr,"  code: 'P2021',
"
2026/07/14 17:11:36,stderr,    at async o (.next/server/chunks/[root-of-the-server]__556ce81c._.js:1:11826) {

2026/07/14 17:11:36,stderr,    at async d (.next/server/chunks/[root-of-the-server]__556ce81c._.js:1:10785)

2026/07/14 17:11:36,stderr,    at async v (.next/server/chunks/[root-of-the-server]__556ce81c._.js:1:7256)

2026/07/14 17:11:36,stderr,The table `main.FindingTemplate` does not exist in the current database.

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,

2026/07/14 17:11:36,stderr,Invalid `prisma.findingTemplate.findMany()` invocation:

